building,name,opening week,opening sat,opening sun,location
hamahaskolatorg,Háma Háskólatorgi,8-18,9-15,Lokað,"Sæmundargötu 4, 102 Reykjavík"
hamataeknigardur,Háma Tæknigarði,8-15,Lokað,Lokað,"Dunhaga 5 (við Háskólabíó), 107 Reykjavík"
hamahaskolabio,Háma Háskólabíói,8:30-15,Lokað,Lokað,"Sturlugötu 7, 102 Reykjavík"
hamastakkahlid,Háma Stakkahlíð,8-15,Lokað,Lokað,"Stakkahlíð, 105 Reykjavík"
hamaeirberg,Háma Eirbergi,9-15,Lokað,Lokað,"Eiríksgötu 34 (við Landspítala), 101 Reykjavík"
hamalaeknagardur,Háma Læknagarði,9-14,Lokað,Lokað,"Vatnsmýrarvegi 16 (við Landspítala), 101 Reykjavík"
hamaoskju,Háma í Öskju,8-15,Lokað,Lokað,"Sturlugötu 7, 102 Reykjavík"
hamaoddi,Háma í Odda,8-15,Lokað,Lokað,"Sturlugötu 3, 102 Reykjavík"
hamathjodarbokhladan,Háma í Þjóðarbókhlöðunni,9-15,Lokað,Lokað,"Arngrímsgata 3, 107 Reykjavík"
hamasalatbar,Háma salatbar Háskólatorgi,11:30-13:30,Lokað,Lokað,"Sæmundargötu 4, 102 Reykjavík"
hamabokakaffi,Bókakaffi stúdenta,9-18,Lokað,Lokað,"Sæmundargötu 4, 102 Reykjavík"